event_id,user_id,timestamp,event_name,session_id
1,359,2025-04-12 03:59:07,export_clicked,f3496cfe-6ec7-4339-9ad5-0025061f9d56
2,403,2025-02-18 02:27:57,dashboard_view,87d3d1f4-3a86-46e9-8dc4-219c3a0e6c7f
3,311,2024-12-23 02:37:13,dashboard_view,a1f68fd0-318c-459b-b414-b019ea010b2e
4,498,2024-05-14 16:24:22,login,e72d9368-a723-48a8-b44b-07c5f55525b2
5,37,2025-11-02 15:00:02,login,07642b48-7e0f-4964-9c87-78565c69bcc5
6,391,2025-04-28 07:09:32,feature_X_used,ee87286d-d966-4a2a-b78d-bccbd21935af
7,406,2025-04-14 06:35:14,data_upload,f5964573-d8d5-47c6-9440-20e3a381b2ca
8,300,2025-04-28 23:46:20,settings_update,f0c1a6b2-487f-4034-bc93-a960d2bb2855
9,146,2024-12-01 15:00:31,report_generated,5ddb6d36-9590-42ad-b679-0caee302ac53
10,265,2025-12-02 16:10:38,feature_X_used,34155e55-8517-4c27-b7a5-43b742692362
11,184,2024-03-07 17:39:16,report_generated,b985d166-2b29-40a3-8023-0024d1a5bdbe
12,336,2025-12-30 08:07:40,settings_update,e74a5a73-88a3-4705-bec5-34e04c2efb0e
13,243,2024-10-11 23:01:16,feature_X_used,c5084788-8113-4e1f-84eb-42bbf05a6973
14,151,2025-05-15 17:37:10,feature_X_used,43085d39-7065-49b5-ad8a-531fde879e4b
15,305,2024-10-30 23:56:33,report_generated,1ba21e17-fbe6-40b9-9c83-4d03977f641f
16,50,2025-05-17 00:19:44,report_generated,780336f8-c4aa-4503-b5ef-783a99af982a
17,352,2025-05-05 20:35:43,data_upload,99ec97c5-3aca-497a-a63a-7c8239a46bd8
18,329,2025-05-06 13:53:56,data_upload,1fefda79-245d-4b1c-ae65-bb306efd6566
19,480,2025-06-03 00:51:12,dashboard_view,ec859760-feba-445a-abfa-36fe8fdc22b0
20,427,2024-02-10 03:38:01,login,4005c0f6-41de-4892-b550-7c81fadabed9
21,322,2025-06-03 18:12:17,report_generated,6b640849-19d5-4d61-a443-194647b39b05
22,29,2024-10-16 00:21:53,export_clicked,1b45face-71da-4801-9bec-e6d30fb26425
23,154,2024-10-03 22:28:02,data_upload,39d1188f-3913-4a23-af05-52b1997a8d95
24,103,2024-03-01 03:58:12,report_generated,9e2a8c79-fa04-4229-bb54-d52d5fa2e76f
25,420,2025-12-30 17:55:01,dashboard_view,b1af703e-d546-4d8c-8fa7-15e79caa2a57
26,264,2024-10-22 14:09:41,settings_update,549bf94e-2279-4545-8ca4-7d77fc98d124
27,452,2024-04-12 17:03:11,export_clicked,cd1881c2-9c04-4798-bc74-19efd76a0670
28,103,2024-03-12 11:09:31,dashboard_view,c734cadd-f5d5-41ed-b3d7-63453de7cac6
29,256,2024-11-14 18:02:34,dashboard_view,ec37d6a0-31dc-4823-a417-a5a1efb1faed
30,127,2025-10-11 21:04:10,dashboard_view,6a464cca-e2c6-44ee-ad1d-c623a1e958b9
31,459,2024-08-06 14:24:28,feature_X_used,5635df96-bcc3-4819-a534-b8140df27dba
32,492,2024-06-16 04:00:09,dashboard_view,82b6d847-483d-48e8-b36b-cd25a4d87cb7
33,130,2025-04-12 14:24:21,login,67b61927-6214-4a30-8925-3f00e6a5556a
34,198,2024-04-07 14:12:45,feature_X_used,462abaea-28f7-44e8-bd63-03498b310cbf
35,440,2024-06-07 03:56:53,report_generated,991293cb-366f-4556-80c8-4201749c755e
36,287,2024-11-24 19:04:19,login,e25df91b-5754-4927-9d15-50954418d1b7
37,171,2025-04-26 00:01:24,dashboard_view,74a6c419-93b2-4d87-8a85-5cae8f835203
38,243,2024-10-06 06:55:18,dashboard_view,53cbf860-b989-45af-842a-9e8a3f9bf2cb
39,481,2024-10-26 02:00:49,feature_X_used,e5214f55-9200-4f3a-9042-2bd8a7535991
40,464,2024-12-20 09:29:31,dashboard_view,9b8e2992-cfac-4ff5-bd75-a9e840847d8f
41,185,2024-05-21 07:07:49,export_clicked,de2eebb9-6772-42e2-96db-6ca86ba76511
42,365,2025-10-31 00:32:04,login,8b91cf3b-9cc8-4935-b849-63a921ace06e
43,270,2025-05-31 12:02:06,settings_update,b2856582-6665-495b-86d1-176265687de4
44,360,2025-01-20 08:08:36,report_generated,779d127f-2eba-4b4e-9a63-01cdd845425f
45,298,2024-07-23 05:49:38,data_upload,25569781-e7e2-4f89-aebb-9447b59c36a3
46,62,2025-06-06 04:51:42,dashboard_view,3bb3dec6-8bd9-43f1-a48f-a91c115089ea
47,86,2024-09-25 06:07:24,feature_X_used,9ab5ad98-ef81-4cf6-b131-88d431e19a37
48,466,2024-11-28 18:13:57,login,b27deea1-6052-4c5d-bdc0-db53e2825862
49,382,2024-07-29 13:17:31,report_generated,710387b0-c7cd-45b6-bf21-a378d4be6695
50,142,2025-04-30 21:29:34,export_clicked,5b81984a-1d3f-44cb-bdf8-4d057520f454
51,273,2025-01-28 23:28:24,data_upload,54cabc50-be9a-472b-aa18-ff6c500d0957
52,124,2025-07-01 06:41:23,dashboard_view,b8a182b0-2bc7-4220-b691-31c152fd12a7
53,200,2024-09-18 11:11:31,dashboard_view,d68a5397-213e-4a4e-abee-174cb63b1ff2
54,323,2025-12-26 04:49:53,feature_X_used,208ab972-4d27-4247-b218-d841161ac752
55,314,2025-12-25 04:05:41,dashboard_view,32869e48-d92e-4a9d-8a91-395bcf54a4e5
56,355,2024-08-27 01:25:49,login,106759b2-6ced-41bf-879b-262144d77fb9
57,13,2024-07-04 01:32:40,dashboard_view,39f8e0fa-001b-4824-a206-83b7d9a86a86
58,467,2025-01-02 00:02:33,report_generated,2fd894de-47a1-45da-b917-600270c66f20
59,285,2024-07-05 12:42:48,data_upload,21fff859-e492-447d-a21e-c0554d7250cf
60,152,2025-10-11 20:44:19,login,db43c628-0184-45f5-baa1-400abd589074
61,385,2024-10-17 19:15:31,export_clicked,ffeac4da-7f9d-411b-994f-6d6353d1a101
62,117,2025-11-12 02:55:12,data_upload,70998d5d-07a8-42b7-84e5-bb43fc9c425f
63,379,2024-08-11 18:23:04,settings_update,d6a5bae6-38bd-49a3-bd0c-81565f3b6f4e
64,47,2025-03-24 19:39:47,export_clicked,dcecdf0b-9631-4dae-bfb1-876d82252957
65,319,2025-07-11 07:19:32,data_upload,7d16f5c6-c4cc-49e7-908f-740fa2d2ef92
66,64,2024-10-25 18:30:53,settings_update,3b48164d-624d-4061-ae03-46484478f567
67,212,2025-06-08 21:40:51,dashboard_view,490232a7-7074-4ed7-baad-97c245f4ce97
68,425,2025-09-16 03:34:37,data_upload,d0c9bdfa-a818-4a5b-a7e5-5fffb2013b67
69,74,2025-01-28 05:21:52,login,49b57d2d-9b75-4d3d-a6a8-900bd378ce42
70,137,2024-05-02 05:43:13,export_clicked,f9ff4830-fed6-4af6-8736-25fb85ab9aae
71,392,2024-05-24 14:26:44,feature_X_used,9c28e3a8-13c8-45bc-ae7d-a8f847f95e82
72,369,2025-02-21 14:39:51,login,0f6fc3cf-d0af-4586-aca3-82d2c2bc6746
73,340,2025-12-19 19:15:12,feature_X_used,72eacb56-113b-443e-95aa-94a8e808a239
74,164,2025-05-11 23:24:34,data_upload,25ce34a1-3644-4f0c-a0f9-8159d80d07c6
75,78,2025-12-13 22:37:46,dashboard_view,b85ed74d-b811-4df8-9003-b929de33c3c1
